season,url,sampled_brands
Fall 2016 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2016-ready-to-wear,"Kaelen, Thom Browne, Stella McCartney, Phelan, Alexandre Vauthier, Toga, Off-White, Mara Hoffman, Rachel Antonoff, Gary Graham, Trademark, Agnona, Joseph, Tod’s, Raquel Allegra, H&M Studio, Saint Laurent, Anna Sui, Christian Wijnants, Belstaff, Givenchy, Coach, J Brand, Undercover, Jacquemus, Elie Saab, Maryam Nassir Zadeh, Iceberg, Rodebjer, Sonia Rykiel, Les Copains, Temperley London, Philosophy di Lorenzo Serafini, Moncler Grenoble, Balmain, Acne Studios, Elizabeth and James, Edeline Lee, Marcelo Burlon County of Milan, Jeremy Scott"
Spring 2016 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2016-ready-to-wear,"Marco de Vincenzo, Area, Issey Miyake, Prada, Camilla and Marc, Pam & Gela, Maiyet, Anya Hindmarch, Alexandre Vauthier, Dsquared2, Ace & Jig, Karen Walker, Adeam, Thom Browne, Alice + Olivia, Versus Versace, Josie Natori, Neil Barrett, Rachel Antonoff, Iro, Aquilano.Rimondi, Frame, Tommy Hilfiger, Philosophy di Lorenzo Serafini, Lisa Marie Fernandez, Acne Studios, Christian Dior, Ryan Roche, Antonio Marras, Maison Kitsuné, Yeohlee, Zoë Jordan, Ashley Williams, Vivienne Tam, Gabriela Hearst, Jason Wu Collection, Adam Lippes, Givenchy, Thomas Tait, Julien David"
Fall 2015 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2015-ready-to-wear,"Kolor, Ferragamo, Raeburn, Sonia by Sonia Rykiel, Tommy Hilfiger, Giambattista Valli, A.W.A.K.E. Mode, VPL, Ryan Roche, Esteban Cortazar, Christian Dior, 1205, Valentino, A Détacher, Barbara Bui, Peter Pilotto, Sharon Wauchob, Elizabeth and James, Rodebjer, Monique Lhuillier, Rick Owens, Veronique Branquinho, Neil Barrett, Pam & Gela, Zac Posen, Rachel Comey, ZAC Zac Posen, Gabriele Colangelo, MM6 Maison Margiela, Adeam, Gucci, Tanya Taylor, Dsquared2, Rachel Antonoff, Visvim, Cédric Charlier, Halston Heritage, Tracy Reese, Sportmax, Hellessy"
Spring 2015 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2015-ready-to-wear,"Prada, Prabal Gurung, Heohwan Simulation, Public School, Electric Feathers, Celine, Moschino, Co, Sportmax, Sacai, Vivienne Tam, Marc Jacobs, Victoria Beckham, Samuji, Zadig & Voltaire, Nili Lotan, Iris van Herpen, Coperni, Orla Kiely, Marissa Webb, Ji Oh, Timo Weiland, Nicholas K, Marni, Lisa Perry, Banana Republic, Ferragamo, Pamella Roland, Boss, Gabriele Colangelo, Chanel, Hermès, Band of Outsiders, Giulietta, Toga, Costume National, Mary Katrantzou, Emporio Armani, MSGM, Melitta Baumeister"
Fall 2014 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2014-ready-to-wear,"Givenchy, Ohne Titel, Christian Siriano, Erdem, Nanette Lepore, Anna Sui, Victoria Beckham, Vera Wang, A.F. Vandevorst, Ellery, Viktor & Rolf, Eudon Choi, Kaufmanfranco, Pam & Gela, Paul Smith, Wren, Fendi, Sonia Rykiel, Maiyet, Yang Li, T by Alexander Wang, Matthew Williamson, Giles Deacon, Jeremy Scott, Duro Olowu, Betsey Johnson, Veronica Beard, Tocca, Iceberg, Creatures of the Wind, Julien Macdonald, Trademark, Preen Line, KTZ, Costume National, Thakoon Addition, Nicole Miller, Norma Kamali, Rebecca Minkoff, Lemaire"
Spring 2014 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2014-ready-to-wear,"Richard Nicoll, Issey Miyake, Bouchra Jarrar, Simone Rocha, Visvim, Calvin Klein Collection, Rachel Antonoff, Tod’s, Vionnet, Neil Barrett, Isabel Marant, Jason Wu Collection, T by Alexander Wang, MSGM, David Koma, Jasmin Shokrian, Iris van Herpen, Thomas Tait, Assembly New York, Red Valentino, Threeasfour, Carven, John Galliano, Giles Deacon, Timo Weiland, Maki Oh, Thom Browne, No. 21, Joie, L'Wren Scott, Duro Olowu, Reem Acra, Holmes & Yang, Acne Studios, Veronique Branquinho, Saint Laurent, Rag & Bone, Clover Canyon, Michael Kors Collection, Pringle of Scotland"
Spring 2013 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2013-ready-to-wear,"Prada, Wayne, Ruffian, Issa, McQueen, Lacoste, JC de Castelbajac, Stephen Burrows, Michael Kors Collection, Fur Fur, Michael van der Ham, Yasutoshi Ezumi, Tess Giberson, Gianfranco Ferré, Tsumori Chisato, Daks, Dolce & Gabbana, Nicole Farhi, Mark Fast, Marchesa, A Détacher, Ohne Titel, Jill Stuart, Tiit, Just Cavalli, Chris Benz, Assembly New York, Calla, Erdem, Marco de Vincenzo, Alexandre Herchcovitch, Felder Felder, Libertine, J. Mendel, Nicholas K, Rebecca Taylor, Julien Macdonald, Revillon, Sacai, Creatures of the Wind"
Fall 2012 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2012-ready-to-wear,"PPQ, Nanette Lepore, Véronique Leroy, Jil Sander, Mark Fast, Miu Miu, Monique Lhuillier, Rochas, Missoni, Carolina Herrera, Paule Ka, Bouchra Jarrar, Prada, Central Saint Martins M.A., Jeremy Scott, Dion Lee, Barbara Casasola, Danielle Scutt, DKNY, Kelly Wearstler, Tucker, Peter Jensen, Saint Laurent, Erdem, Altuzarra, Sophie Theallet, Valentino, RAD by Rad Hourani, Basso & Brooke, Sharon Wauchob, Chalayan, Preen by Thornton Bregazzi, Uniqueness, Giambattista Valli, Haider Ackermann, Tommy Hilfiger, Aquascutum, Nicole Miller, Akris, Lacoste"
Spring 2012 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2012-ready-to-wear,"Daryl K, Louis Vuitton, Emanuel Ungaro, Roland Mouret, Cynthia Rowley, Barbara Bui, Michael Kors Collection, Diane von Furstenberg, Tess Giberson, Paul Smith, Roksanda, Surface to Air, Monique Lhuillier, Saint Laurent, Duro Olowu, Neil Barrett, 3.1 Phillip Lim, Akris, Nicole Miller, Cynthia Steffe, Tracy Reese, Carlos Miele, Ferragamo, Victoria by Victoria Beckham, Lacoste, Hervé Léger by Max Azria, Stephen Burrows, Wendy Nichol, Victoria Beckham, Dsquared2, Loewe, Felipe Oliveira Baptista, Chloé, Bottega Veneta, Camilla and Marc, Mulberry, Andrew Gn, Calvin Klein Collection, Vivienne Westwood, Brood"
Fall 2011 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2011-ready-to-wear,"Daryl K, Creatures of the Wind, Tess Giberson, Sportmax, Bill Blass, Hervé Léger by Max Azria, Mary Katrantzou, Ann-Sofie Back Atelje, Victoria Beckham, Erdem, Bodkin, Jason Wu Collection, Diane von Furstenberg, Tsumori Chisato, Ralph Rucci, Temperley London, Jaeger London, Carven, Sharon Wauchob, G-Star, Frank Tell, Julien David, A.F. Vandevorst, Tim Hamilton, Collette Dinnigan, Betsey Johnson, Marni, Hakaan, Douglas Hannant, Loewe, Andreas Kronthaler for Vivienne Westwood, Roland Mouret, Julian Louie, Ruffian, Chris Benz, Charlotte Ronson, DKNY, Central Saint Martins M.A., Behnaz Sarafpour, Tracy Reese"
Spring 2011 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2011-ready-to-wear,"Fashion East, Nicholas K, Erin Fetherston, Reem Acra, Burberry, Paul & Joe, Vera Wang, Francesco Scognamiglio, Azzaro, Lanvin, Manish Arora, Gant by Michael Bastian, Willow, Custo Barcelona, Nanette Lepore, Undercover, Nicole Farhi, Michael Kors Collection, Clements Ribeiro, Karen Walker, Dries Van Noten, Chris Benz, Vivienne Westwood, Gucci, Costume National, Ralph Rucci, Aquilano.Rimondi, Vanessa Bruno, Kinder Aggugini, Adam Lippes, Alberta Ferretti, Catherine Malandrino, Hanii Y, Dsquared2, David Koma, Rebecca Taylor, Nina Ricci, Viktor & Rolf, Moschino Cheap And Chic, Jaeger London"
Fall 2010 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear,"Nathan Jenden, DKNY, Marchesa, Ralph Lauren, PPQ, Proenza Schouler, John Galliano, Alexander Wang, Halston, Carlos Miele, Emanuel Ungaro, No. 21, Sykes, Nina Ricci, Christopher Kane, Véronique Leroy, Band of Outsiders, Emilio Pucci, A.F. Vandevorst, Lacoste, Talbot Runhof, Rag & Bone, Cacharel, Lela Rose, Matthew Ames, Akris, BCBGMaxAzria, Isaac Mizrahi, Gary Graham, Basso & Brooke, Christian Cota, Elie Saab, Neil Barrett, Ports 1961, Iris van Herpen, Vanessa Bruno, Chanel, Jenni Kayne, Louise Goldin, Doo.Ri"
Spring 2010 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear,"Karen Walker, Gary Graham, Giorgio Armani, Jil Sander, Koi Suwannagate, Pringle of Scotland, Gabriele Colangelo, Antonio Berardi, Isabel Marant, Rachel Comey, Zac Posen, Albino Teodoro, Ralph Rucci, Nanette Lepore, Karl Lagerfeld, Elie Tahari, Clements Ribeiro, Haider Ackermann, Marc Jacobs, Andreas Kronthaler for Vivienne Westwood, Araks, Danielle Scutt, Undercover, Jason Wu Collection, Cynthia Steffe, Bruno Pieters, Temperley London, LP.BG, Versus Versace, Giambattista Valli, Matthew Ames, Threeasfour, Louise Goldin, Sharon Wauchob, Derek Lam, Stella McCartney, Julien Macdonald, Lacoste, Anna Sui, D&G"
Fall 2009 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear,"Milly, Mary Katrantzou, Veronique Branquinho, Kai Kühne, Organic by John Patrick, Vivienne Tam, J. Mendel, Roksanda, Yigal Azrouël, Lyn Devon, L'Wren Scott, Moschino Cheap And Chic, Hermès, Costello Tagliapietra, Richard Chai Love, Erdem, Max Azria, Ferragamo, Y-3, Roland Mouret, Christian Lacroix, Anna Sui, Twenty8Twelve, A.F. Vandevorst, Abaeté, VPL, Sophia Kokosalaki, Jill Stuart, Erin Fetherston, Carlos Miele, Chloé, Matthew Ames, Jasmine Di Milo, Givenchy, Luisa Beccaria, Ralph Rucci, Tory Burch, Ralph Lauren, Marc by Marc Jacobs, Alexander Wang"
Spring 2009 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear,"Lela Rose, Chloé, Gareth Pugh, Sabyasachi, Derercuny, Narciso Rodriguez, Victoria Beckham, Vivienne Westwood, Erdem, Marc Jacobs, Matthew Williamson, Kai Kühne, Valentino, Elie Tahari, Nathan Jenden, Luca Luca, Anna Sui, Akris, Gianfranco Ferré, Derek Lam, McQueen, Tao, Juan Carlos Obando, Louis Vuitton, Chanel, Trovata, Luella, Jeremy Laing, Zac Posen, Tory Burch, Christian Lacroix, Yigal Azrouël, Jill Stuart, Richard Nicoll, Philosophy di Lorenzo Serafini, Stella McCartney, Carlos Miele, Undercover, Giambattista Valli, Rebecca Taylor"
Fall 2008 Ready To Wear,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear,"Ferragamo, Katy Rodriguez, Malo, Benjamin Cho, Hermès, Bruno Pieters, Valentino, Todd Lynn, Tory Burch, Tommy Hilfiger, L'Wren Scott, Daryl K, Lacoste, Louise Goldin, Jill Stuart, Brian Reyes, Monique Lhuillier, McQueen, Ralph Lauren, Peter Jensen, Vivienne Westwood, Vivienne Tam, 6267, Halston, Blumarine, Carolina Herrera, Collette Dinnigan, Alberta Ferretti, Jean Paul Gaultier, Tao, Nicole Miller, Shipley & Halmos, Maison Margiela, D&G, Anna Sui, Givenchy, Proenza Schouler, Jason Wu Collection, Y-3, Duro Olowu"
Spring 2008 Ready To Wear,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear,"Donna Karan New York, L.A.M.B., Derercuny, Jens Laugesen, Lanvin, Douglas Hannant, Antonio Berardi, Betsey Johnson, Doo.Ri, Behnaz Sarafpour, Max Azria, Berardi, Jason Wu Collection, Bruce, United Bamboo, Thakoon, Peter Jensen, Undercover, Max Mara, Christian Dior, Diane von Furstenberg, Rodnik, Gucci, Balenciaga, Dries Van Noten, Vena Cava, Marni, Rick Owens, Adam Lippes, Narciso Rodriguez, Maison Margiela, Jenni Kayne, Jill Stuart, Marc by Marc Jacobs, Anne Valérie Hash, Nathan Jenden, Bottega Veneta, Richard Chai Love, Prada, La Perla"
